"id","priority","phase","area","title","description","acceptance_criteria","test_mcp","review_initial_requirements","review_regression_requirements","dev_state","review_initial_state","review_regression_state","git_state","owner","refs","notes"
"VU-000","P0","0","both","Repo reset & VidUnpack scaffold","Replace repo with VidUnpack (React + LangGraphJS + Rust tool server) scaffold and a single dev entrypoint.","Old skeleton removed; `npm run dev` starts local web on port 6785; repo has plan + issues snapshot committed.","AUTOE2E","Keep structure minimal; document run commands; ensure port/config from .env; avoid unnecessary deps.","Fresh clone runs; smoke-flow works end-to-end; no leftover legacy files or broken scripts.","已完成","已完成","已完成","已提交","","plan/2026-01-22_vidunpack_mvp.md:30; package.json:1; apps/web/vite.config.ts:1; crates/toolserver/src/main.rs:1","picked_reason:bootstrap scaffold for all other issues | picked_at:2026-01-22 | done_at:2026-01-22 | evidence:npm web build ok; npm orchestrator build ok; cargo build ok"
"VU-010","P0","1","backend","Rust tool server baseline","Create axum tool server with config, logging, and ffmpeg preflight checks.","`GET /health` returns ok; config loads data root/port; missing ffmpeg gives clear error; logs are structured.","AUTOSERVER","Validate error model; path safety; avoid shell injection; document ffmpeg requirement.","Run with/without ffmpeg; ensure stable behavior; verify API compatibility across OS.","已完成","已完成","已完成","已提交","","plan/2026-01-22_vidunpack_mvp.md:34; crates/toolserver/src/main.rs:1; crates/toolserver/Cargo.toml:1","picked_reason:toolserver baseline unblocks most backend work | picked_at:2026-01-22 | done_at:2026-01-22 | evidence:cargo build -p vidunpack-toolserver ok"
"VU-020","P0","2","backend","SQLite schema + project workspace","Implement SQLite schema and per-project folder layout under `data/`, with project CRUD and event log.","Create/list/open project works; project folder created; sqlite indexes runs/artifacts/consent/profile; migrations idempotent.","AUTOSERVER","Schema covers needed queries; migrations safe; file paths deterministic; basic indexing for history views.","Regression: open existing projects; migrate old schema; verify no data loss and queries remain fast.","未开始","未开始","未开始","未提交","","plan/2026-01-22_vidunpack_mvp.md:38",""
"VU-030","P0","3","both","Project UI + import + consent","Build UI to create/open project, import local video, paste link, and perform one-time project-scoped consent with optional auto-confirm.","UI can import local video; link paste triggers disclaimer + confirm once per project; auto-confirm toggle persists; no download without consent.","AUTOE2E","Confirm UX is clear and minimal; consent is recorded; actions are auditable; avoid accidental downloads.","Start new project confirms again; verify toggles; verify consent does not leak across projects.","未开始","未开始","未开始","未提交","","plan/2026-01-22_vidunpack_mvp.md:42",""
"VU-040","P0","4","backend","ffmpeg media pipeline","Use ffmpeg to probe metadata, extract 3 clips (start/mid/end), extract audio, and generate thumbnails/frames with caching.","Given a video, produces metadata.json; 3 clips exist; audio extracted; thumbnails generated; cached under project; errors are actionable.","AUTOSERVER","Ensure commands are safe; cache keys stable; handle long videos; resource cleanup; cap temp usage.","Run on different codecs/containers; ensure repeatable outputs; verify cache hit behavior and cleanup.","未开始","未开始","未开始","未提交","","plan/2026-01-22_vidunpack_mvp.md:46",""
"VU-050","P0","5","both","Gemini video understanding integration","Call Gemini API via BASE_URL using initial 3 clips; allow model selection in UI (default gemini-3-pro-preview); persist structured analysis.","With keys configured, analysis run completes; model can request extra clips; UI shows result; failures show clear remediation; responses stored.","AUTOE2E","Prompt keeps scope on asset aggregation for meme story videos; avoid over-constraining; log requests without leaking keys.","Test different models/base_url; retry logic; verify no key leaks in logs or report.","未开始","未开始","未开始","未提交","","plan/2026-01-22_vidunpack_mvp.md:50",""
"VU-060","P0","6","both","Exa search + web_fetch loop","Implement Exa-backed web_search (5 results/round) + web_fetch with max 3 iterations; store citations for reporting.","Each round returns <=5 results; total rounds <=3; fetch reads a limited set of URLs; queries/results/citations are stored and visible.","AUTOSERVER","Budget enforcement; URL fetch timeouts; content size caps; sanitize output; store provenance.","Regression: run repeated searches; ensure deterministic storage; validate citations in report; handle provider errors gracefully.","未开始","未开始","未开始","未提交","","plan/2026-01-22_vidunpack_mvp.md:54",""
"VU-070","P0","7","both","Think MCP panel + toggle","Add a visible think() step that plans next actions (search/fetch/confirm/tool calls) and can be toggled off by user.","When enabled, UI shows plan per step; when disabled, flow still works; all steps recorded in project log; no infinite loops.","AUTOE2E","Keep plan concise; do not expose sensitive info; ensure toggle affects orchestration deterministically.","Verify toggle on/off mid-project; ensure logs/replays; confirm no behavior drift with think disabled.","未开始","未开始","未开始","未提交","","plan/2026-01-22_vidunpack_mvp.md:58",""
"VU-080","P0","8","both","Asset aggregation pool (meme-first)","Aggregate candidate assets into a selection pool with grouping, dedup, and source/license metadata; support keep searching for X iteration.","Selection pool renders; dedup collapses near-duplicates; each asset has provenance; user can request more assets and pool grows.","AUTOE2E","Dedup strategy documented; provenance required; avoid broken links; handle missing/failed downloads cleanly.","Regression on repeated runs; verify pool persistence; verify provenance retained after export/import manifest.","未开始","未开始","未开始","未提交","","plan/2026-01-22_vidunpack_mvp.md:62",""
"VU-090","P0","9","backend","Static report.html + manifest.json","Generate a static report.html for humans and manifest.json for reproducibility, including citations and asset metadata.","Report opens standalone; includes sources; manifest can restore project state; no server required for viewing report.","AUTOSERVER","Report must be readable; keep it static; avoid inline secrets; validate manifest schema/versioning.","Open report on another machine; import manifest and reproduce selection pool with no missing fields.","未开始","未开始","未开始","未提交","","plan/2026-01-22_vidunpack_mvp.md:66",""
"VU-100","P0","10","both","Selection + zip export with size estimate","Provide selection UI (default select-all) and export zip containing only selected items, plus report/manifest, and original video by default; show size estimate.","Size estimate shown before export; zip contains only checked items + report/manifest + original video; download succeeds; cancel works.","AUTOE2E","Export must not block UI; handle large files; progress shown; partial failures reported with retry guidance.","Export multiple projects; validate zip integrity; verify selection consistency; verify very large video case handled.","未开始","未开始","未开始","未提交","","plan/2026-01-22_vidunpack_mvp.md:70",""
"VU-110","P1","11","frontend","Gemini-skill UI/animation pass","Use gemini-skill workflow to let Gemini propose UI/style/animations with minimal constraints; integrate and stabilize.","Gemini output is file-level; Codex integration passes `pnpm build`; UX is smooth; supports reduced motion; no functional regressions.","AUTOFRONTEND","Keep brief minimal; forbid unrequested backend changes; ensure accessibility and performance; avoid dependency bloat.","Visual regression spot-check; verify all flows still work; mobile/desktop responsiveness acceptable.","未开始","未开始","未开始","未提交","","plan/2026-01-22_vidunpack_mvp.md:74",""
"VU-120","P1","12","both","Cross-project profile summary update","After export, generate a short session summary and update a global profile (merge, not unbounded append); inject into future runs.","Profile exists and updates after each project; summary is short; injection improves personalization; user can view file if desired.","AUTOSERVER","Ensure profile update is deterministic; avoid leaking private content; keep size bounded; define merge strategy.","Regression: run many projects; profile stays bounded; prompt injection does not break workflows; can be reset.","未开始","未开始","未开始","未提交","","plan/2026-01-22_vidunpack_mvp.md:78",""
"VU-130","P2","13","both","GitHub Actions build & packaging artifacts","Set up CI to build/test and package downloadable artifacts for Windows/macOS users (run instructions included).","CI runs on PR/push; produces artifacts; caches dependencies; artifacts include clear run instructions; failures are actionable.","AUTOE2E","Keep CI fast; avoid secrets in logs; artifact naming stable; document prerequisites (ffmpeg).","Regression: download artifacts and run smoke test on both OS; verify versioning and reproducibility.","未开始","未开始","未开始","未提交","","plan/2026-01-22_vidunpack_mvp.md:82",""
